# VB6 Control Property Descriptor Tables
# Extracted from MSVBVM60.DLL v6.00.9848 runtime descriptor pointer tables.
# Each row represents one entry in a control's property pointer table.
# Status: active=serializable, fontsub=flag-only, skip=runtime-only, sep=separator, obj=COM object ref
#
# Descriptor Table VAs:
#   Timer:          0x66028A50 (9 entries)
#   Label:          0x66027040 (47 entries)
#   CommandButton:  0x660283C8 (43 entries)
#   TextBox:        0x66026A40 (58 entries)
#   CheckBox:       0x66025A78 (49 entries)
#   OptionButton:   0x66027BB0 (43 entries)
#   Frame:          0x660256A8 (35 entries)
#   PictureBox:     0x66027FD8 (69 entries)
#   ListBox:        0x66002330 (56 entries)
#   ComboBox:       0x66025F30 (56 entries)
#   HScrollBar:     0x660286B0 (27 entries)
#   VScrollBar:     0x660286B0 (27 entries, shared with HScrollBar)
#   Image:          0x660272E8 (29 entries)
#   Shape:          0x66028900 (19 entries)
#   Line:           0x66027748 (14 entries)
#   Data:           0x660241E8 (46 entries)
#   DriveListBox:   0x660265D0 (38 entries)
#   DirListBox:     0x660262D0 (40 entries)
#   FileListBox:    0x6601E8C0 (49 entries)
#   Menu:           0x66027940 (14 entries)
#   OLE:            0x66025000 (75 entries)
#   Form:           0x660226B0 (75 entries)
#   MDIForm:        0x660226B0 (75 entries, shared with Form)
#   PropertyPage:   0x6602A3F0 (78 entries)
#   UserControl:    0x66029530 (94 entries)
#   UserDocument:   0x66029D10 (88 entries)
#
control_type,index,name,ser_type,callback_bytes,status,flags,descriptor_va
DriveListBox,30,Font,20,-1,active,0x80224414,0x66001CC0
DriveListBox,31,WhatsThisHelpID,3,0,active,0x80C12203,0x66001EF0
DriveListBox,32,Appearance,6,0,active,0x80C12606,0x66001CA0
DriveListBox,34,ToolTipText,1,0,active,0x80D12401,0x66001F20
DriveListBox,35,OLEDropMode,6,0,active,0x80412406,0x66001D70
DriveListBox,37,CausesValidation,4,0,active,0x80C12204,0x66002010
FileListBox,2,BackColor,5,0,active,0x80F12405,0x66001E40
FileListBox,3,ForeColor,5,0,active,0x80F12405,0x66001E60
FileListBox,4,LeftTop,8,4,active,0x90222408,0x66001DC0
FileListBox,5,Top,10,0,flag,0x9020240A,0x66001DE0
FileListBox,6,Width,9,0,flag,0x90202409,0x66001E00
FileListBox,7,Height,11,0,flag,0x9020240B,0x66001DA0
FileListBox,8,Enabled,4,0,active,0x80E14404,0x66001D90
FileListBox,9,Visible,4,0,active,0x80E14404,0x66001DF0
FileListBox,10,MousePointer,6,0,active,0x80C12406,0x66001D50
FileListBox,11,TabIndex,2,0,active,0x84012402,0x66001FF0
FileListBox,13,FileName,1,0,active,0x00E12401,0x6601E890
FileListBox,15,Pattern,4,0,active,0x00E12404,0x6601E870
FileListBox,16,Archive,4,0,active,0x00C12404,0x6601E8A0
FileListBox,17,Normal,4,0,active,0x00E12404,0x6601E810
FileListBox,18,ReadOnly,4,0,active,0x00E12404,0x6601E830
FileListBox,19,System,4,0,active,0x00E12404,0x6601E8B0
FileListBox,22,Hidden,1,0,flag,0x00005901,0x6601E840
FileListBox,24,FontSize,7,0,flag,0x90304C07,0x66001D00
FileListBox,25,FontBold,4,0,flag,0x90204C04,0x66001CD0
FileListBox,26,FontItalic,4,0,flag,0x90204C04,0x66001CE0
FileListBox,27,FontStrikethru,4,0,flag,0x90204C04,0x66001D10
FileListBox,28,FontUnderline,4,0,flag,0x90204C04,0x66001D20
FileListBox,30,DragMode,6,0,active,0x80C12606,0x66001ED0
FileListBox,32,TabStop,4,0,active,0x80C14404,0x66002000
FileListBox,33,Tag,13,0,active,0x80C1220D,0x66001DD0
FileListBox,35,HelpContextID,3,0,active,0x80C12203,0x66001DB0
FileListBox,36,MultiSelect,6,0,active,0x00C13206,0x6601E850
FileListBox,41,Font,20,-1,active,0x80224414,0x66001CC0
FileListBox,42,WhatsThisHelpID,3,0,active,0x80C12203,0x66001EF0
FileListBox,43,Appearance,6,0,active,0x80C12606,0x66001CA0
FileListBox,45,ToolTipText,1,0,active,0x80D12401,0x66001F20
FileListBox,46,OLEDragMode,6,0,active,0x80412206,0x660021A0
FileListBox,47,OLEDropMode,6,0,active,0x80412406,0x66001D70
FileListBox,48,CausesValidation,4,0,active,0x80C12204,0x66002010
Form,0,Name,1,0,active,0x8400D412,0x660222A0
Form,1,Caption,1,0,active,0x80EA4401,0x66022290
Form,2,hWnd,3,0,flag,0x80003803,0x66001D30
Form,3,BackColor,5,0,active,0x80F12405,0x66022260
Form,4,ForeColor,5,0,active,0x80F12405,0x66022280
Form,5,Left,8,0,active,0x90222408,0x66001DC0
Form,6,Top,10,0,flag,0x9020240A,0x66001DE0
Form,7,Width,9,0,flag,0x90202409,0x66001E00
Form,8,Height,11,0,flag,0x9020240B,0x66001DA0
Form,9,Enabled,4,0,active,0x80E14404,0x66001D90
Form,10,WindowState,6,0,active,0x00C14406,0x66022558
Form,11,MousePointer,6,0,active,0x80C12406,0x66001D50
Form,12,FontName,1,0,active,0x90224C01,0x66001CF0
Form,13,FontSize,7,0,flag,0x90304C07,0x66001D00
Form,14,FontBold,4,0,flag,0x90204C04,0x66001CD0
Form,15,FontItalic,4,0,flag,0x90204C04,0x66001CE0
Form,16,FontStrikethru,4,0,flag,0x90204C04,0x66001D10
Form,17,FontUnderline,4,0,flag,0x90204C04,0x66001D20
Form,18,hDC,3,0,flag,0x00005803,0x66022170
Form,19,CurrentX,7,0,flag,0x00004C07,0x66022150
Form,20,CurrentY,7,0,flag,0x00004C07,0x66022160
Form,21,ScaleLeft,7,0,flag,0x10404407,0x66022218
Form,22,ScaleTop,7,0,flag,0x10404407,0x66022240
Form,23,ScaleWidth,7,0,flag,0x10004407,0x66022250
Form,24,ScaleHeight,7,0,flag,0x10004407,0x66022208
Form,25,ScaleMode,6,3,active,0x10422406,0x66022228
Form,26,FontTransparent,4,0,flag,0x10404404,0x660221E8
Form,27,DrawStyle,6,0,active,0x00C14406,0x66022198
Form,28,DrawWidth,2,0,active,0x00C14402,0x660221B0
Form,29,FillStyle,6,0,active,0x00C14406,0x660221D0
Form,30,FillColor,5,0,active,0x00D12405,0x660221C0
Form,31,DrawMode,6,0,active,0x00C14406,0x66022180
Form,32,AutoRedraw,4,0,flag,0x10604404,0x66022140
Form,33,Picture,21,0,active,0x04E12415,0x66022548
Form,34,BorderStyle,6,0,active,0x00C12406,0x660224C0
Form,35,Icon,21,0,active,0x00C1A615,0x660224F0
Form,36,LinkTopic,1,0,active,0x00C1A401,0x66022518
Form,37,LinkMode,6,0,active,0x00C12406,0x66022500
Form,38,MaxButton,4,0,active,0x00C13604,0x66022528
Form,39,MinButton,4,0,active,0x00C13604,0x66022538
Form,40,Moveable,4,0,active,0x00C13604,0x660224E0
Form,41,Image,21,0,flag,0x04005815,0x660221F8
Form,42,ShowInTaskbar,4,0,active,0x00C13204,0x660226A0
Form,43,_,4,0,sep,0xE0000804,0x660024A0
Form,44,_,4,0,sep,0xE0000804,0x660024A0
Form,45,_,4,0,sep,0xE0000804,0x660024A0
Form,46,Visible,4,0,active,0x80E14404,0x66001DF0
Form,47,Tag,13,0,active,0x80C1220D,0x66001DD0
Form,48,MDIChild,4,0,active,0x00C15404,0x66022580
Form,49,NegotiateMenus,4,0,active,0x00C12204,0x66022570
Form,50,ClipControls,4,0,active,0x80C12204,0x66022270
Form,51,HelpContextID,3,0,active,0x80C12203,0x66001DB0
